Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/24/11,AQS,170010007,1,0.033,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/25/11,AQS,170010007,1,0.044,ppm,41,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/26/11,AQS,170010007,1,0.032,ppm,30,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/27/11,AQS,170010007,1,0.028,ppm,26,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
2/28/11,AQS,170010007,1,0.039,ppm,36,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/1/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/2/11,AQS,170010007,1,0.038,ppm,35,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/3/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/4/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/5/11,AQS,170010007,1,0.034,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/6/11,AQS,170010007,1,0.038,ppm,35,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/7/11,AQS,170010007,1,0.033,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/8/11,AQS,170010007,1,0.029,ppm,27,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/9/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/10/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/11/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/12/11,AQS,170010007,1,0.045,ppm,42,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/13/11,AQS,170010007,1,0.031,ppm,29,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/14/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/15/11,AQS,170010007,1,0.037,ppm,34,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/16/11,AQS,170010007,1,0.053,ppm,49,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/17/11,AQS,170010007,1,0.041,ppm,38,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/18/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/19/11,AQS,170010007,1,0.046,ppm,43,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/20/11,AQS,170010007,1,0.045,ppm,42,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/21/11,AQS,170010007,1,0.042,ppm,39,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/22/11,AQS,170010007,1,0.042,ppm,39,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/23/11,AQS,170010007,1,0.035,ppm,32,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/24/11,AQS,170010007,1,0.045,ppm,42,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/25/11,AQS,170010007,1,0.036,ppm,33,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/26/11,AQS,170010007,1,0.042,ppm,39,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/27/11,AQS,170010007,1,0.048,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
