Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
7/18/2013,29-077-0042,1,0.052,ppm,44,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/19/2013,29-077-0042,1,0.054,ppm,46,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/20/2013,29-077-0042,1,0.055,ppm,47,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/21/2013,29-077-0042,1,0.047,ppm,40,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/22/2013,29-077-0042,1,0.05,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/23/2013,29-077-0042,1,0.054,ppm,46,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/24/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/25/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/26/2013,29-077-0042,1,0.034,ppm,29,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/27/2013,29-077-0042,1,0.034,ppm,29,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/28/2013,29-077-0042,1,0.034,ppm,29,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/29/2013,29-077-0042,1,0.037,ppm,31,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/30/2013,29-077-0042,1,0.039,ppm,33,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
7/31/2013,29-077-0042,1,0.038,ppm,32,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/1/2013,29-077-0042,1,0.044,ppm,37,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/2/2013,29-077-0042,1,0.04,ppm,34,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/3/2013,29-077-0042,1,0.048,ppm,41,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
