Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/8/15,AQS,171190008,1,0.047,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/9/15,AQS,171190008,1,0.066,ppm,87,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/10/15,AQS,171190008,1,0.069,ppm,97,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/11/15,AQS,171190008,1,0.066,ppm,87,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/12/15,AQS,171190008,1,0.044,ppm,41,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/13/15,AQS,171190008,1,0.041,ppm,38,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/14/15,AQS,171190008,1,0.025,ppm,23,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/15/15,AQS,171190008,1,0.033,ppm,31,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/16/15,AQS,171190008,1,0.036,ppm,33,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/17/15,AQS,171190008,1,0.017,ppm,16,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/18/15,AQS,171190008,1,0.024,ppm,22,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/19/15,AQS,171190008,1,0.026,ppm,24,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/20/15,AQS,171190008,1,0.058,ppm,61,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/21/15,AQS,171190008,1,0.041,ppm,38,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/22/15,AQS,171190008,1,0.028,ppm,26,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/23/15,AQS,171190008,1,0.048,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/24/15,AQS,171190008,1,0.052,ppm,48,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/25/15,AQS,171190008,1,0.051,ppm,47,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/26/15,AQS,171190008,1,0.042,ppm,39,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/27/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/28/15,AQS,171190008,1,0.043,ppm,40,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/29/15,AQS,171190008,1,0.044,ppm,41,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
6/30/15,AQS,171190008,1,0.043,ppm,40,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
7/1/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
7/2/15,AQS,171190008,1,0.042,ppm,39,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
7/3/15,AQS,171190008,1,0.047,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
7/4/15,AQS,171190008,1,0.057,ppm,58,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
7/5/15,AQS,171190008,1,0.067,ppm,90,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
7/6/15,AQS,171190008,1,0.039,ppm,36,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
