"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/19/2011","29-047-0005","1","0.07100","ppm","87.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/20/2011","29-047-0005","1","0.05800","ppm","49.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/21/2011","29-047-0005","1","0.07400","ppm","97.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/22/2011","29-047-0005","1","0.07900","ppm","109.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/23/2011","29-047-0005","1","0.06700","ppm","74.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/24/2011","29-047-0005","1","0.05200","ppm","44.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/25/2011","29-047-0005","1","0.06100","ppm","54.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/26/2011","29-047-0005","1","0.06600","ppm","71.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/27/2011","29-047-0005","1","0.06600","ppm","71.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/28/2011","29-047-0005","1","0.08900","ppm","135.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/29/2011","29-047-0005","1","0.05200","ppm","44.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/30/2011","29-047-0005","1","0.06500","ppm","67.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"07/31/2011","29-047-0005","1","0.06600","ppm","71.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/01/2011","29-047-0005","1","0.07100","ppm","87.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/02/2011","29-047-0005","1","0.06900","ppm","80.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/03/2011","29-047-0005","1","0.04500","ppm","38.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/04/2011","29-047-0005","1","0.06500","ppm","67.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/05/2011","29-047-0005","1","0.05800","ppm","49.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/06/2011","29-047-0005","1","0.06600","ppm","71.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/07/2011","29-047-0005","1","0.06300","ppm","61.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/08/2011","29-047-0005","1","0.05000","ppm","42.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/09/2011","29-047-0005","1","0.05100","ppm","43.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/10/2011","29-047-0005","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/11/2011","29-047-0005","1","0.04000","ppm","34.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
